===== Optimal =====
Input		Frame1		Frame2		Frame3		Frame4		Frame5		
11		30		3		11		15		29		PAGE FAULT
4		30		3		11		4		29		PAGE FAULT
9		30		3		11		9		29		PAGE FAULT
13		30		3		11		13		29		PAGE FAULT
18		30		3		11		18		29		PAGE FAULT
29		30		3		11		18		29		
19		30		3		11		19		29		PAGE FAULT
16		30		3		11		19		16		PAGE FAULT
21		30		3		21		19		16		PAGE FAULT
21		30		3		21		19		16		
19		30		3		21		19		16		
3		30		3		21		19		16		
19		30		3		21		19		16		
16		30		3		21		19		16		
21		30		3		21		19		16		
16		30		3		21		19		16		
10		30		3		21		10		16		PAGE FAULT
30		30		3		21		10		16		
16		30		3		21		10		16		
30		30		3		21		10		16		
11		30		3		21		11		16		PAGE FAULT
15		30		15		21		11		16		PAGE FAULT
15		30		15		21		11		16		
15		30		15		21		11		16		
30		30		15		21		11		16		
21		30		15		21		11		16		
16		30		15		21		11		16		
20		30		15		21		20		16		PAGE FAULT
15		30		15		21		20		16		
14		30		14		21		20		16		PAGE FAULT
9		30		14		21		9		16		PAGE FAULT
16		30		14		21		9		16		
30		30		14		21		9		16		
21		30		14		21		9		16		
1		30		14		21		1		16		PAGE FAULT
14		30		14		21		1		16		
24		24		14		21		1		16		PAGE FAULT
1		24		14		21		1		16		
14		24		14		21		1		16		
16		24		14		21		1		16		
20		24		14		21		1		20		PAGE FAULT
26		24		14		21		1		26		PAGE FAULT
21		24		14		21		1		26		
29		24		14		21		1		29		PAGE FAULT
1		24		14		21		1		29		
11		24		14		21		1		11		PAGE FAULT
14		24		14		21		1		11		
22		24		14		21		22		11		PAGE FAULT
2		24		14		21		2		11		PAGE FAULT
17		24		14		21		17		11		PAGE FAULT
21		24		14		21		17		11		
5		5		14		21		17		11		PAGE FAULT
3		3		14		21		17		11		PAGE FAULT
4		4		14		21		17		11		PAGE FAULT
21		4		14		21		17		11		
17		4		14		21		17		11		
23		4		14		21		23		11		PAGE FAULT
6		4		14		6		23		11		PAGE FAULT
7		4		14		7		23		11		PAGE FAULT
11		4		14		7		23		11		
11		4		14		7		23		11		
14		4		14		7		23		11		
27		4		27		7		23		11		PAGE FAULT
8		4		8		7		23		11		PAGE FAULT
23		4		8		7		23		11		
24		4		8		7		24		11		PAGE FAULT
8		4		8		7		24		11		
4		4		8		7		24		11		
21		4		21		7		24		11		PAGE FAULT
6		6		21		7		24		11		PAGE FAULT
30		6		30		7		24		11		PAGE FAULT
26		6		30		7		26		11		PAGE FAULT
11		6		30		7		26		11		
13		6		13		7		26		11		PAGE FAULT
6		6		13		7		26		11		
13		6		13		7		26		11		
6		6		13		7		26		11		
28		6		28		7		26		11		PAGE FAULT
10		6		10		7		26		11		PAGE FAULT
16		6		16		7		26		11		PAGE FAULT
7		6		16		7		26		11		
11		6		16		7		26		11		
26		6		16		7		26		11		
9		6		9		7		26		11		PAGE FAULT
6		6		9		7		26		11		
17		17		9		7		26		11		PAGE FAULT
20		17		9		20		26		11		PAGE FAULT
5		17		9		5		26		11		PAGE FAULT
14		17		14		5		26		11		PAGE FAULT
17		17		14		5		26		11		
3		3		14		5		26		11		PAGE FAULT
5		3		14		5		26		11		
25		3		14		25		26		11		PAGE FAULT
26		3		14		25		26		11		
30		3		14		30		26		11		PAGE FAULT
3		3		14		30		26		11		
11		3		14		30		26		11		
15		3		15		30		26		11		PAGE FAULT
28		3		28		30		26		11		PAGE FAULT
9		3		9		30		26		11		PAGE FAULT
26		3		9		30		26		11		
2		3		9		30		2		11		PAGE FAULT
24		3		9		30		24		11		PAGE FAULT
11		3		9		30		24		11		
30		3		9		30		24		11		
21		3		9		30		24		21		PAGE FAULT
22		3		22		30		24		21		PAGE FAULT
21		3		22		30		24		21		
3		3		22		30		24		21		
12		12		22		30		24		21		PAGE FAULT
4		12		22		30		24		4		PAGE FAULT
15		12		22		30		24		15		PAGE FAULT
24		12		22		30		24		15		
12		12		22		30		24		15		
12		12		22		30		24		15		
7		7		22		30		24		15		PAGE FAULT
1		1		22		30		24		15		PAGE FAULT
22		1		22		30		24		15		
15		1		22		30		24		15		
1		1		22		30		24		15		
1		1		22		30		24		15		
30		1		22		30		24		15		
16		1		16		30		24		15		PAGE FAULT
14		1		16		30		24		14		PAGE FAULT
21		21		16		30		24		14		PAGE FAULT
9		21		9		30		24		14		PAGE FAULT
11		21		9		30		11		14		PAGE FAULT
19		21		9		30		19		14		PAGE FAULT
4		21		9		30		4		14		PAGE FAULT
21		21		9		30		4		14		
23		21		9		30		23		14		PAGE FAULT
17		21		9		30		17		14		PAGE FAULT
30		21		9		30		17		14		
21		21		9		30		17		14		
6		21		9		30		6		14		PAGE FAULT
9		21		9		30		6		14		
14		21		9		30		6		14		
23		21		9		30		6		23		PAGE FAULT
24		24		9		30		6		23		PAGE FAULT
7		24		9		30		6		7		PAGE FAULT
8		24		9		30		6		8		PAGE FAULT
9		24		9		30		6		8		
24		24		9		30		6		8		
25		25		9		30		6		8		PAGE FAULT
30		25		9		30		6		8		
18		25		9		18		6		8		PAGE FAULT
12		25		9		12		6		8		PAGE FAULT
3		25		9		12		6		3		PAGE FAULT
16		25		9		12		6		16		PAGE FAULT
25		25		9		12		6		16		
9		25		9		12		6		16		
11		25		11		12		6		16		PAGE FAULT
4		25		11		12		6		4		PAGE FAULT
1		25		11		12		6		1		PAGE FAULT
5		25		11		12		6		5		PAGE FAULT
13		25		11		12		6		13		PAGE FAULT
6		25		11		12		6		13		
12		25		11		12		6		13		
12		25		11		12		6		13		
